status,price,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,Effective Tax Rate (2023),2023_avg_income
for_sale,500000.0,4.0,3.0,0.22,Spring Hill,Kansas,03451,3020.0,2016-05-23,1.30%,65844.25235786602
for_sale,500000.0,3.0,2.0,20.02,Wilsall,Montana,06472,2032.0,2016-03-24,0.75%,116941.05877548415
for_sale,160000.0,3.0,2.0,,Wayne,Nebraska,06051,2240.0,2010-12-09,1.50%,75510.35614367206
for_sale,915000.0,4.0,3.0,0.09,Ewa Beach,Hawaii,01081,1551.0,2015-01-28,0.27%,219892.62752835412
sold,125000.0,2.0,1.0,0.4,Wilmington,Delaware,06062,1429.0,2022-04-18,0.53%,89611.95571645044
for_sale,135000.0,3.0,2.0,,Anchorage,Alaska,01104,1149.0,2016-11-04,1.14%,93274.16234024455
for_sale,599900.0,5.0,4.0,0.18,Aurora,Colorado,01069,3206.0,2014-09-19,0.49%,123821.08778818091
for_sale,1190000.0,5.0,5.0,0.92,Saint Louis,Missouri,12138,5457.0,2013-12-18,0.88%,62619.10194587064
for_sale,185000.0,1.0,2.0,0.25,Saint Louis,Missouri,06795,1018.0,2005-11-18,0.88%,62619.10194587064
for_sale,429000.0,2.0,2.0,,Lexington,Kentucky,01571,1672.0,2021-04-06,0.77%,57036.52805514948
for_sale,224900.0,3.0,2.0,,Branson,Missouri,12196,1173.0,2022-03-10,0.88%,62619.10194587064
for_sale,14000.0,,,0.24,Rio Rico,Arizona,06279,,1995-06-26,0.52%,92314.15759011848
sold,125730.0,,,8.38,Homer,Georgia,01106,,2021-12-03,0.81%,66272.84391114955
for_sale,249900.0,3.0,2.0,0.19,Dover,Delaware,06085,1500.0,2021-07-14,0.53%,89611.95571645044
for_sale,234900.0,3.0,2.0,0.16,Albuquerque,New Mexico,06053,1279.0,2008-04-08,0.72%,84812.19844585452
for_sale,164900.0,3.0,2.0,0.24,Tahlequah,Oklahoma,01420,1322.0,2018-08-06,0.82%,50884.32119465236
for_sale,1300000.0,4.0,3.0,0.13,Mililani,Hawaii,06040,2158.0,1995-08-15,0.27%,219892.62752835412
for_sale,375000.0,3.0,3.0,0.48,Gwinner,North Dakota,05301,4992.0,2018-01-05,0.99%,77449.84134647761
for_sale,375000.0,4.0,3.0,0.27,Denham Springs,Louisiana,06791,2704.0,2020-04-20,0.55%,53458.66687535139
for_sale,650000.0,3.0,1.0,0.52,Hilo,Hawaii,06066,1176.0,2001-11-30,0.27%,219892.62752835412
for_sale,40000.0,,,4.93,Clarkesville,Georgia,01109,,2006-09-05,0.81%,66272.84391114955
for_sale,149000.0,,,18.9,Edgewood,New Mexico,06109,,2016-09-12,0.72%,84812.19844585452
for_sale,435000.0,3.0,2.0,0.14,Coeur d'Alene,Idaho,06042,1276.0,2007-12-20,0.53%,99536.10971360006
for_sale,47900.0,,,0.11,Waterbury,Connecticut,01267,2704.0,2006-10-24,1.92%,113214.17659599264
